id&$,|name&$,|nick&$,|contribution_score
209125162493280256&$,|gnahznavi&$,|&$,|2
348927586354855939&$,|&$,|&$,|
574364010636378132&$,|&$,|&$,|
820988465541939265&$,|&$,|&$,|
